County,County Code,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Year,Year Code,Deaths,Population,Crude Rate,% of Total Deaths
"Berkeley County, WV",54003,Drug poisonings (overdose) Unintentional (X40-X44),D1,25-34 years,25-34,2014,2014,12,15043,Unreliable,0.00%
"Berkeley County, WV",54003,Drug poisonings (overdose) Unintentional (X40-X44),D1,25-34 years,25-34,2016,2016,19,15754,Unreliable,0.00%
"Berkeley County, WV",54003,Drug poisonings (overdose) Unintentional (X40-X44),D1,35-44 years,35-44,2013,2013,15,15113,Unreliable,0.00%
"Berkeley County, WV",54003,Drug poisonings (overdose) Unintentional (X40-X44),D1,35-44 years,35-44,2014,2014,10,15165,Unreliable,0.00%
"Berkeley County, WV",54003,Drug poisonings (overdose) Unintentional (X40-X44),D1,35-44 years,35-44,2015,2015,14,15132,Unreliable,0.00%
"Berkeley County, WV",54003,Drug poisonings (overdose) Unintentional (X40-X44),D1,35-44 years,35-44,2016,2016,27,15006,179.93,0.01%
"Berkeley County, WV",54003,Drug poisonings (overdose) Unintentional (X40-X44),D1,45-54 years,45-54,2013,2013,11,16066,Unreliable,0.00%
"Berkeley County, WV",54003,Drug poisonings (overdose) Unintentional (X40-X44),D1,45-54 years,45-54,2016,2016,13,16420,Unreliable,0.00%
"Boone County, WV",54005,Drug poisonings (overdose) Unintentional (X40-X44),D1,45-54 years,45-54,2014,2014,12,3183,Unreliable,0.00%
"Cabell County, WV",54011,Drug poisonings (overdose) Unintentional (X40-X44),D1,25-34 years,25-34,2007,2007,11,12359,Unreliable,0.00%
"Cabell County, WV",54011,Drug poisonings (overdose) Unintentional (X40-X44),D1,25-34 years,25-34,2013,2013,17,12840,Unreliable,0.00%
"Cabell County, WV",54011,Drug poisonings (overdose) Unintentional (X40-X44),D1,25-34 years,25-34,2014,2014,13,12479,Unreliable,0.00%
"Cabell County, WV",54011,Drug poisonings (overdose) Unintentional (X40-X44),D1,25-34 years,25-34,2015,2015,18,12030,Unreliable,0.00%
"Cabell County, WV",54011,Drug poisonings (overdose) Unintentional (X40-X44),D1,25-34 years,25-34,2016,2016,21,12003,174.96,0.01%
"Cabell County, WV",54011,Drug poisonings (overdose) Unintentional (X40-X44),D1,35-44 years,35-44,2011,2011,13,11486,Unreliable,0.00%
"Cabell County, WV",54011,Drug poisonings (overdose) Unintentional (X40-X44),D1,35-44 years,35-44,2013,2013,12,11465,Unreliable,0.00%
"Cabell County, WV",54011,Drug poisonings (overdose) Unintentional (X40-X44),D1,35-44 years,35-44,2014,2014,11,11499,Unreliable,0.00%
"Cabell County, WV",54011,Drug poisonings (overdose) Unintentional (X40-X44),D1,35-44 years,35-44,2015,2015,24,11429,209.99,0.01%
"Cabell County, WV",54011,Drug poisonings (overdose) Unintentional (X40-X44),D1,35-44 years,35-44,2016,2016,28,11283,248.16,0.01%
"Cabell County, WV",54011,Drug poisonings (overdose) Unintentional (X40-X44),D1,45-54 years,45-54,2006,2006,10,13285,Unreliable,0.00%
