Library,address,GMcoordinates
Alderson Public Library,"Rt. 1 Box 147, Alderson, WV 24910-9364","-80.637294, 37.728214"
Allegheny Mt Top Public Library,"8455 Union Highway (Rt. 42), Mount Storm, WV, WV 26739","-79.240196, 39.274399"
Alum Creek Public Library,"PO Box 530, Alum Creek, WV 25003","-81.835438, 38.260806"
Ansted Public Library,"PO Box 428, Ansted, WV 25812","-81.09505, 38.1342507"
Arnettsville Public Library,"4120 Fairmont Rd, Morgantown, WV 26501","-80.091847, 39.58784"
Barboursville Public Library,"728 Main St. Barboursville, WV 25504-1407","-82.29424499999999, 38.409084"
Barrett-Wharton Public Library,"PO Box 189 Wharton, WV 25208-0189","-81.660038, 37.884259"
Belington Public Library,"P.O. Box 878 Belington, WV 26250-0878","-79.935628, 39.023677"
Benwood-McMechen Public Library,"201 Marshall St. McMechen, WV 26040-1034","-80.72998919999999, 39.99437289999999"
Bolivar-Harpers Ferry Public Library,"151 Polk St. Harpers Ferry, WV 25425-9870","-77.75678080000002, 39.3243246"
Boone-Madison Public Library,"375 Main St. Madison, WV 25130-1295","-81.8223216, 38.0640725"
Bradshaw Public Library,"PO Box 498 Bradshaw, WV 24817","-81.7980489, 37.3507725"
Bridgeport Public Library,"1200 Johnson Ave. Bridgeport, WV 26330-1354","-80.275078, 39.299668"
Brooke County Public Library,"945 Main St. Wellsburg, WV 26070-1629","-80.61278399999999, 40.272662"
Buffalo Creek Memorial Library,"511 E. McDonald Ave. Man, WV 25635-1014","-81.87507, 37.7349496"
Buffalo Public Library,"3530 Buffalo Road Buffalo, WV 25033-0366","-81.9733835, 38.6235291"
Burlington Public Library,"PO Box 61 Burlington, WV 26710-0061","-78.918400, 39.336756"
Burnsville Public Library,"P.O. Box 141 Burnsville, WV 26335-9999","-80.657080, 38.859247"
Guyan River Public Library,"5320 McClellan Highway Branchland, WV 25506-0278","-82.1903328, 38.2495054"
Cabell County Public Library,"455 9th St. Huntington, WV 25701-1417","-82.443962, 38.4197847"
Calhoun County Public Library,"PO Box 918 Grantsville, WV 26147-0918","-81.096834, 38.923699"
Cameron Public Library,"Benedum Building Cameron, WV 26033-1019","-80.454554, 39.677174"
Capon Bridge Public Library,"2987 Northwestern Pike Capon Bridge, WV 26711-0088","-78.4335609, 39.2970166"
Center Point Public Library,"8871 WV RT 23 Salem, WV 26426","-80.5655893, 39.2831586"
Chapmanville Public Library,"740 Crawley Creek Road Chapmanville, WV 25508-4586","-82.0295359, 37.974885"
Charles W. Gibson Public Library,"105 E. Main St. Buckhannon, WV 26201-2735","-80.2237035, 38.9931408"
Cheat Area Public Library,"121 Crosby Rd. Morgantown, WV 26508-9134","-79.86564829999999, 39.6542961"
Clarksburg-Harrison Co. Public Library,"404 W. Pike St. Clarksburg, WV 26301-2712","-80.34076259999999, 39.2811774"
Clay Battelle Public Library,"PO Drawer J Blacksville, WV 26521-0068","-80.215636, 39.719112"
Clay County Public Library,"PO Box 60 Clay, WV 25043-0060","-81.076544, 38.460215"
Clendenin Public Library,"1 Cardinal St. Clendenin, WV 25045-0939","-81.34920790000001, 38.4884334"
Clinton District Public Library,"2005 Grafton Rd. Morgantown, WV 26508-3658","-79.9334832, 39.5440802"
Coal River Public Library,"494 John Slack Circle Racine, WV 25165-9510","-81.64749909999999, 38.1384128"
Cowen Public Library,"PO Box 187 Cowen, WV 26206-0187","-80.555773, 38.408081"
Cox Landing Public Library,"6365 Cox Lane Lesage, WV 25537-9708","-82.30443679999999, 38.4738961"
Craft Memorial Library,"600 Commerce St. Bluefield, WV 24701-3107","-81.22101010000002, 37.26879539999999"
Craigsville Public Library,"63 Library Lane Craigsville, WV 26205-9719","-80.652451, 38.328462"
Cross Lanes Public Library,"5449 Big Tyler Rd. Charleston, WV 25313-1196","-81.78428880000001, 38.4268543"
Doddridge County Public Library,"106 Marie Street West Union, WV 26456-1258","-80.7761211, 39.2965194"
Dora Bee Woodyard Memorial Library,"PO Box 340 Elizabeth, WV 26143-0340","-81.392274, 39.062931"
Dunbar Public Library,"301 12th St. Mall Dunbar, WV 25064-3027","-81.7396693, 38.3589882"
Durbin Public Library,"PO Box 333 Durbin, WV 26264","-79.828583, 38.547333"
Eleanor Public Library,"PO Box 459 Eleanor, WV 25070-0459","-81.91801339999999, 38.5441279"
Elk Valley Public Library,"313 Crossing Mall Elkview, WV 25071","-81.500693, 38.457443"
Elkins-Randolph County Public Library,"416 Davis Ave. Elkins, WV 26241-3849","-79.8491499, 38.9269658"
Fairview Public Library,"PO Box 296 Fairview, WV 26570-0296","-73.995787, 40.815840"
Fayette County Public Library,"531 Summit St. Oak Hill, WV 25901-3446","-82.7184194, 38.4315617"
Fayetteville Public Library,"200 W. Maple Ave. Fayetteville, WV 25840-1414","-81.1057928, 38.051323"
