"type","county","name","address","city","zip","zip4","phone","fax","url","grades"
"ADMINISTRATIVE","Barbour","Barbour County Schools","45 School Street","Philippi","26416","","4573030","4573559","http://www.wvschools.com/barbourcountyschools/",""
"PUBLIC","Barbour","Philip Barbour High School Complex","99 Horseshoe Drive ","Philippi","26416","","4571360","4572658","http://pbhs.barb.k12.wv.us","PK12"
"PUBLIC","Barbour","Belington Middle School","Rr 2 Box 343 ","Belington","26250","","8231281","8232403","http://www.wvschools.com/bms","0608"
"PUBLIC","Barbour","Philippi Head Start","Chestnut Street ","Philippi","26416","","4572181","","",""
"PUBLIC","Barbour","Junior Elementary","415 First Street ","Junior","26275","","8231200","8232895","","PK05"
"PUBLIC","Barbour","Kasson Elementary/Middle School","Rt. 1 Box 233a ","Moatsville","26405","","4571485","4576186","","PK08"
"NON-PUBLIC","Barbour","Feed My Sheep","Rr 3 Box 278-A ","Philippi","26416","","4571135","","",""
"PUBLIC","Barbour","Philippi Middle School","Rt 3 Box 40 ","Philippi","26416","","4572999","4572561","","0608"
"PUBLIC","Barbour","Belington Head Start","25 Horseshoe Drive ","Philippi","26416","","8232315","","",""
"PUBLIC","Barbour","Philippi Elementary School","Route 3 Box 38 ","Philippi","26416","","4574229","4572287","","PK05"
"PUBLIC","Barbour","Belington Elementary","Rr 2 Box 344 ","Belington","26250","","8231411","8232414","http://www.wvschools.com/bes/","PK05"
"PUBLIC","Berkeley","Rosemont Elementary School","301 South Alabama Avenue ","Martinsburg","25401","","2673560","2633838","http://boe.berk.k12.wv.us/bcschools/s211/","PK03"
"ADMINISTRATIVE","Berkeley","Berkeley County Schools","401 S. Queen Street","Martinsburg","25401","","2673500","2673524","http://www.berkeleycountyschools.org",""
"PUBLIC","Berkeley","James Rumsey Technical Institute","3274 Hedgesville Road ","Martinsburg","25403","","7547925","7547933","http://jrti.berk.tec.wv.us/",""
"PUBLIC","Berkeley","Mountain Ridge Intermediate","2691 Gerrardstown Road ","Gerrardstown","25420","","2296791","2296914","","0305"
"PUBLIC","Berkeley","Marlowe Elementary School","9580 Williamsport Pike ","Falling Waters","25419","","2742291","2748939","http://boe.berk.k12.wv.us/bcschools/s209/","PK02"
"PUBLIC","Berkeley","Musselman High School","126 Excellence Way ","Inwood","25428","","2291950","2291959","http://boe.berk.k12.wv.us/BCSchools/s503/","0912"
"PUBLIC","Berkeley","Eagle School Intermediate","730 Eagle School Road ","Martinsburg","25404","","2630422","2636506","","0305"
"PUBLIC","Berkeley","Hedgesville Elementary School","88 School House Drive ","Hedgesville","25427","","7543341","7546660","http://boe.berk.k12.wv.us/bcschools/s207/","PK02"
"NON-PUBLIC","Berkeley","Saint Joseph Parish School","110 East Stephen Street ","Martinsburg","25401","","2676447","2676573","http://www.stjosephparishschool.us",""
"PUBLIC","Berkeley","Hedgesville High School","109 Ridge Road North ","Hedgesville","25427","","7543354","7547445","http://boe.berk.k12.wv.us/bcschools/s501/","0912"
"PUBLIC","Berkeley","Potomack Intermediate School","5308 Williamsport Pike ","Martinsburg","25404","","2746592","2746876","http://boe.berk.k12.wv.us/bcschools/s216/","0305"
"PUBLIC","Berkeley","Burke Street Elementary School","422 West Burke Street ","Martinsburg","25401","","2673525","2673527","http://boe.berk.k12.wv.us/bcschools/s205/","PK03"
"NON-PUBLIC","Berkeley","Eastern Panhandle Christian Academy","P O Box 590 ","Inwood","25428","","2292210","","",""
"PUBLIC","Berkeley","Musselman Middle School","105 Pride Avenue ","Bunker Hill","25413","","2291965","2291967","http://boe.berk.k12.wv.us/bcschools/s304/","0608"
"PUBLIC","Berkeley","Winchester Avenue Elementary School","650 Winchester Avenue ","Martinsburg","25401","","2673570","2673572","http://boe.berk.k12.wv.us/bcschools/s214/","PK03"
"PUBLIC","Berkeley","Berkeley Heights Elementary School","726 Hack Wilson Way ","Martinsburg","25401","","2673520","2633798","http://boe.berk.k12.wv.us/bcschools/s203/","PK03"
"NON-PUBLIC","Berkeley","Martinsburg Christian Academy","2247 Williamsport Pike ","Martinsburg","25404","","2676368","2630287","",""
"PUBLIC","Berkeley","Martinsburg North Middle School","250 East Road ","Martinsburg","25404","","2673540","2645066","http://boe.berk.k12.wv.us/bcschools/s302/","0608"
"PUBLIC","Berkeley","Tuscarora Elementary School","2000 Tavern Road ","Martinsburg","25401","","2673565","2645059","http://boe.berk.k12.wv.us/bcschools/s212/","PK02"
"PUBLIC","Berkeley","Back Creek Valley Elementary School","1962 Back Creek Valley Road ","Hedgesville","25427","","2291975","2291978","http://boe.berk.k12.wv.us/bcschools/s201/","PK02"
"PUBLIC","Berkeley","Mountain Ridge Middle School","2771 Gerrardstown Road","Gerrardstown","25420","","","","",""
"NON-PUBLIC","Berkeley","Various Home School Residences","C/O Berkeley County Bd. Of Ed. 401 S. Queen St.","Martinsburg","25401","","2673500","","",""
"PUBLIC","Berkeley","Spring Mills Primary","401 Campus Drive ","Martinsburg","25404","","","","","PK02"
"PUBLIC","Berkeley","Opequon Elementary School","395 East Road ","Martinsburg","25404","","2673550","2673552","http://boe.berk.k12.wv.us/bcschools/s210/","PK02"
"PUBLIC","Berkeley","Pikeside Learning Center","3635 Winchester Ave ","Martinsburg","25405","","2673555","2673557","http://boe.berk.k12.wv.us/bcschools/s602/",""
"PUBLIC","Berkeley","Orchard View Intermediate School","1455 Delmar Orchard Rd ","Martinsburg","25403","","2634143","2634148","","0405"
"PUBLIC","Berkeley","Inwood Primary School","7864 Winchester Ave ","Inwood","25428","","2291990","2291992","http://boe.berk.k12.wv.us/bcschools/s208/","PK03"
"PUBLIC","Berkeley","Martinsburg High School","701 South Queen Street ","Martinsburg","25401","","2673530","2673536","http://168.216.142.69/bcschools/s502/","0912"
"PUBLIC","Berkeley","Mill Creek Intermediate School","8785 Winchester Avenue ","Bunker Hill","25413","","2294570","2294793","http://boe.berk.k12.wv.us/bcschools/s217/","0405"
"PUBLIC","Berkeley","Gerrardstown Elementary School","15 Dominion Road ","Gerrardstown","25420","","2291985","2291988","http://boe.berk.k12.wv.us/bcschools/s206/","PK02"
"NON-PUBLIC","Berkeley","Morgan Academy","P.o. Box 1281 ","Shepherdstown","25443","","2620188","","",""
"PUBLIC","Berkeley","Spring Mills Middle School","255 Campus Drive ","Martinsburg","25404","","2745030","2743598","","0608"
"PUBLIC","Berkeley","Spring Mills High School","499 Campus Drive","Martinsburg","25404","","2745141","2745144","",""
"PUBLIC","Berkeley","Tomahawk Intermediate School","6665 Hedgesville Road ","Hedgesville","25427","","7543171","7543201","http://168.216.142.69/bcschools/s215/","0305"
"PUBLIC","Berkeley","Bunker Hill Elementary School","58 Happy School Avenue ","Bunker Hill","25413","","2291980","2291983","http://boe.berk.k12.wv.us/bcschools/s204/","PK03"
"NON-PUBLIC","Berkeley","Rocky Knoll Seventh-Day Adventist School","52 Advent Drive ","Martinsburg","25403","","2639894","2639894","http://www.rockyknollsdaschool.org",""
"PUBLIC","Berkeley","Martinsburg South Middle School","150 Bulldog Boulevard ","Martinsburg","25401","","2673545","2645062","http://boe.berk.k12.wv.us/bcschools/s303/","0608"
"PUBLIC","Berkeley","Valley View Elementary School","140 Nadenbousch Lane ","Martinsburg","25405","","2291970","2291973","http://168.216.142.69/bcschools/s213/menu1.htm","PK03"
"PUBLIC","Berkeley","Bedington Elementary School","149 Bedington Road ","Martinsburg","25404","","2742535","2743957","http://boe.berk.k12.wv.us/bcschools/s202/","PK02"
"NON-PUBLIC","Berkeley","Faith Christian Academy","138 Greensburg Rd. ","Martinsburg","25404","","2630011","2670638","http://www.faithchristianacademy.net",""
"PUBLIC","Berkeley","Hedgesville Middle School","334 School House Drive ","Hedgesville","25427","","7543313","7546613","http://boe.berk.k12.wv.us/bcschools/s301/","0608"
"PUBLIC","Boone","Sherman High School","10008 Coal River Road Po Box Ab","Seth","25181","","8373301","8377529","http://www.shermanhigh.com","0912"
"PUBLIC","Boone","Jeffrey-Spencer Elementary","3277 Hewett Creek Road Po Box 319","Hewett","25108","","3691342","3691345","http://www.quicksitebuilder.cnet.com/jeffreyspencerel/","PK05"
"PUBLIC","Boone","Sherman Junior High School","9846 Coal River Road Po Box Aa","Seth","25181","","8373694","8377603","http://www.wvschools.com/sjhs","0708"
"PUBLIC","Boone","Whitesville Elementary School","37949 Coal River Road Hc82, Box 265","Whitesville","25209","476","8541301","8541301","http://www.members.tripod.com/wejhs/","PK06"
"PUBLIC","Boone","Brookview Elementary","1 Learning Way ","Foster","25081","","3691012","3691054","http://www.citynet.net/boonecountyschools/brookview/","PK05"
"PUBLIC","Boone","Wharton Elementary","36071 Pond Fork Road Po Box 60","Wharton","25208","","2476672","2476676","http://www.geocities.com/whartongrade/","PK05"
"NON-PUBLIC","Boone","Christian Faith Academy","Rt. 85, Box 10 ","Van","0","","2455711","","",""
"PUBLIC","Boone","Ramage Elementary","15908 Spruce River Road Rt 1, Box 293","Danville","25053","","3690763","3690765","http://www.geocities.com/rams25053/","PK05"
"PUBLIC","Boone","Van Junior/Senior High School","913 Van High School Road Po Box 100","Van","25206","","2458237","2458695","http://vhs.boon.k12.wv.us/","0612"
"PUBLIC","Boone","Madison Elementary","150 Josephine Avenue ","Madison","25130","","3692241","3692869","http://www.madisonelementary.org","PK05"
"PUBLIC","Boone","Scott High School","1 Skyhawk Place ","Madison","25130","","3693011","3696564","http://www.scotthighskyhawks.com","0912"
"PUBLIC","Boone","Ashford-Rumble Elementary","1649 Ashford Nellis Road ","Ashford","25009","540","8365381","8365381","http://www.geocities.com/webashford/","0K06"
"PUBLIC","Boone","Madison Middle School","404 Riverside Dr-W ","Madison","25130","","3694464","3695800","http://madisonms.bcsd.wv.yso.lightspan.net","0608"
"ADMINISTRATIVE","Boone","Boone County Schools","69 Avenue B","Madison","25130","","3693131","3690855","http://www.boonecountyboe.org",""
"PUBLIC","Boone","Sherman Elementary School","7487 Coal River Road Po Box 369","Comfort","25049","369","8378310","8378342","http://www.geocities.com/Athens/Acropolis/7973/","PK06"
"PUBLIC","Boone","Van Elementary","338 Van High School Road Po Box 360","Van","25206","","2458811","2458811","http://www.angelfire.com/wv2/vanelementary/","0K05"
"PUBLIC","Boone","Boone Career-Technical Center","3505 Daniel Boone Pkwy-Suite B Hc81, Box 50-B","Danville","25053","","3694585","3693692","http://boonecareercenter.com",""
"PUBLIC","Boone","Nellis Elementary","179 Memorial Drive,1 School St Box 135","Nellis","25142","","8365281","8365281","http://www.geocities.com/nelliselementary/","PK06"
"PUBLIC","Braxton","Braxton County Middle School","100 Carter Braxton Drive ","Sutton","26601","","7652644","7652696","http://boe.brax.k12.wv.us/schools/BCMSFrm.htm","0708"
"PUBLIC","Braxton","Little Birch Elementary School","55 Little Birch Road","Sutton","26601","","7652042","7652042","http://boe.brax.k12.wv.us/schools/LittleBirchFrm.htm","PK06"
"PUBLIC","Braxton","Flatwoods Elementary School","Po Box 130 ","Flatwoods","26621","","7655821","7655851","http://boe.brax.k12.wv.us/schools/FlatwoodsFrm.htm","PK06"
"PUBLIC","Braxton","Burnsville Elementary School","Po Box 35 228 Kanawha Ave","Burnsville","26335","","8532523","8532431","http://boe.brax.k12.wv.us/schools/BurnsvilleFrm.htm","PK06"
"PUBLIC","Braxton","Braxton County High School","200 Jerry Burton Drive ","Sutton","26601","","7657331","7657976","http://boe.brax.k12.wv.us/schools/BCHSFrm.htm","0912"
"PUBLIC","Braxton","Sutton Elementary School","288 N Hill Road ","Sutton","26601","","7655202","7655547","http://boe.brax.k12.wv.us/schools/SuttonFrm.htm","PK06"
"PUBLIC","Braxton","Frametown Elementary School","Hc 61 Box 14 ","Frametown","26623","","3645526","3648620","http://boe.brax.k12.wv.us/schools/FrametownFrm.htm","PK06"
"PUBLIC","Braxton","Davis Elementary School","113 Fifth Street ","Gassaway","26624","","3645291","3648547","http://boe.brax.k12.wv.us/schools/DavisFrm.htm","PK06"
"ADMINISTRATIVE","Braxton","Braxton County Schools","98 Carter Braxton Drive","Sutton","26601","","7657101","7657148","http://boe.brax.k12.wv.us/",""
