type,county,name,address,city,zip
PUBLIC,Barbour,Philip Barbour High School Complex,99 Horseshoe Drive ,Philippi,26416
PUBLIC,Barbour,Belington Middle School,Rr 2 Box 343 ,Belington,26250
PUBLIC,Barbour,Philippi Head Start,Chestnut Street ,Philippi,26416
PUBLIC,Barbour,Junior Elementary,415 First Street ,Junior,26275
PUBLIC,Barbour,Kasson Elementary/Middle School,Rt. 1 Box 233a ,Moatsville,26405
PUBLIC,Barbour,Philippi Middle School,Rt 3 Box 40 ,Philippi,26416
PUBLIC,Barbour,Belington Head Start,25 Horseshoe Drive ,Philippi,26416
PUBLIC,Barbour,Philippi Elementary School,Route 3 Box 38 ,Philippi,26416
PUBLIC,Barbour,Belington Elementary,Rr 2 Box 344 ,Belington,26250
PUBLIC,Berkeley,Rosemont Elementary School,301 South Alabama Avenue ,Martinsburg,25401
PUBLIC,Berkeley,James Rumsey Technical Institute,3274 Hedgesville Road ,Martinsburg,25403
PUBLIC,Berkeley,Mountain Ridge Intermediate,2691 Gerrardstown Road ,Gerrardstown,25420
PUBLIC,Berkeley,Marlowe Elementary School,9580 Williamsport Pike ,Falling Waters,25419
PUBLIC,Berkeley,Musselman High School,126 Excellence Way ,Inwood,25428
PUBLIC,Berkeley,Eagle School Intermediate,730 Eagle School Road ,Martinsburg,25404
PUBLIC,Berkeley,Hedgesville Elementary School,88 School House Drive ,Hedgesville,25427
PUBLIC,Berkeley,Hedgesville High School,109 Ridge Road North ,Hedgesville,25427
PUBLIC,Berkeley,Potomack Intermediate School,5308 Williamsport Pike ,Martinsburg,25404
PUBLIC,Berkeley,Burke Street Elementary School,422 West Burke Street ,Martinsburg,25401
PUBLIC,Berkeley,Musselman Middle School,105 Pride Avenue ,Bunker Hill,25413
PUBLIC,Berkeley,Winchester Avenue Elementary School,650 Winchester Avenue ,Martinsburg,25401
PUBLIC,Berkeley,Berkeley Heights Elementary School,726 Hack Wilson Way ,Martinsburg,25401
