county,name,address,city,zip,joinedAddress,GMcoordinates
Barbour,Philip Barbour High School Complex,99 Horseshoe Drive ,Philippi,26416,"99 Horseshoe Drive , Philippi, WV, 26416","-79.99286359999999, 39.1090421"
Barbour,Belington Middle School,Rr 2 Box 343 ,Belington,26250,"Rr 2 Box 343 , Belington, WV, 26250",
Barbour,Philippi Head Start,Chestnut Street ,Philippi,26416,"Chestnut Street , Philippi, WV, 26416","-80.0402579, 39.1452617"
Barbour,Junior Elementary,415 First Street ,Junior,26275,"415 First Street , Junior, WV, 26275","-79.956704, 38.97761"
Barbour,Kasson Elementary/Middle School,Rt. 1 Box 233a ,Moatsville,26405,"Rt. 1 Box 233a , Moatsville, WV, 26405",
Barbour,Philippi Middle School,Rt 3 Box 40 ,Philippi,26416,"Rt 3 Box 40 , Philippi, WV, 26416","-80.0403578, 39.1523198"
Barbour,Belington Head Start,25 Horseshoe Drive ,Philippi,26416,"25 Horseshoe Drive , Philippi, WV, 26416","-79.994379, 39.1097589"
Barbour,Philippi Elementary School,Route 3 Box 38 ,Philippi,26416,"Route 3 Box 38 , Philippi, WV, 26416","-80.0403578, 39.1523198"
Barbour,Belington Elementary,Rr 2 Box 344 ,Belington,26250,"Rr 2 Box 344 , Belington, WV, 26250",
Berkeley,Rosemont Elementary School,301 South Alabama Avenue ,Martinsburg,25401,"301 South Alabama Avenue , Martinsburg, WV, 25401","-77.981876, 39.459074"
Berkeley,James Rumsey Technical Institute,3274 Hedgesville Road ,Martinsburg,25403,"3274 Hedgesville Road , Martinsburg, WV, 25403","-77.9790623, 39.5327798"
Berkeley,Mountain Ridge Intermediate,2691 Gerrardstown Road ,Gerrardstown,25420,"2691 Gerrardstown Road , Gerrardstown, WV, 25420","-78.0795452, 39.3680257"
Berkeley,Marlowe Elementary School,9580 Williamsport Pike ,Falling Waters,25419,"9580 Williamsport Pike , Falling Waters, WV, 25419","-77.85986419999999, 39.5869298"
Berkeley,Musselman High School,126 Excellence Way ,Inwood,25428,"126 Excellence Way , Inwood, WV, 25428","-78.04147669999999, 39.3518554"
Berkeley,Eagle School Intermediate,730 Eagle School Road ,Martinsburg,25404,"730 Eagle School Road , Martinsburg, WV, 25404","-77.94692599999999, 39.481384"
Berkeley,Hedgesville Elementary School,88 School House Drive ,Hedgesville,25427,"88 School House Drive , Hedgesville, WV, 25427","-77.9909057, 39.5521408"
Berkeley,Hedgesville High School,109 Ridge Road North ,Hedgesville,25427,"109 Ridge Road North , Hedgesville, WV, 25427","-77.982083, 39.53749"
Berkeley,Potomack Intermediate School,5308 Williamsport Pike ,Martinsburg,25404,"5308 Williamsport Pike , Martinsburg, WV, 25404","-77.9061217, 39.5410241"
Berkeley,Burke Street Elementary School,422 West Burke Street ,Martinsburg,25401,"422 West Burke Street , Martinsburg, WV, 25401","-77.9680652, 39.4585893"
Berkeley,Musselman Middle School,105 Pride Avenue ,Bunker Hill,25413,"105 Pride Avenue , Bunker Hill, WV, 25413","-78.049437, 39.347733"
Berkeley,Winchester Avenue Elementary School,650 Winchester Avenue ,Martinsburg,25401,"650 Winchester Avenue , Martinsburg, WV, 25401","-77.9756049, 39.4522398"
Berkeley,Berkeley Heights Elementary School,726 Hack Wilson Way ,Martinsburg,25401,"726 Hack Wilson Way , Martinsburg, WV, 25401","-77.96564900000001, 39.444722"
Berkeley,Martinsburg North Middle School,250 East Road ,Martinsburg,25404,"250 East Road , Martinsburg, WV, 25404","-77.949767, 39.471956"
