County,Year,Year Code,Drug/Alcohol Induced Cause,Deaths,Population
"Barbour County, WV",2004,2004,All other non-drug and non-alcohol causes,183,15629
"Barbour County, WV",2004,2004,,190,15629
"Barbour County, WV",2008,2008,All other non-drug and non-alcohol causes,177,16241
"Barbour County, WV",2008,2008,,179,16241
"Barbour County, WV",2012,2012,All other non-drug and non-alcohol causes,203,16493
"Barbour County, WV",2012,2012,,208,16493
"Barbour County, WV",2016,2016,All other non-drug and non-alcohol causes,190,16831
"Barbour County, WV",2016,2016,,193,16831
"Barbour County, WV",,,,770,65194
"Berkeley County, WV",2004,2004,All other non-drug and non-alcohol causes,761,88258
"Berkeley County, WV",2004,2004,,775,88258
"Berkeley County, WV",2008,2008,Drug poisonings (overdose) Unintentional (X40-X44),19,101629
"Berkeley County, WV",2008,2008,All other non-drug and non-alcohol causes,775,101629
"Berkeley County, WV",2008,2008,,807,101629
"Berkeley County, WV",2012,2012,Drug poisonings (overdose) Unintentional (X40-X44),27,107098
"Berkeley County, WV",2012,2012,All other alcohol-induced causes,10,107098
"Berkeley County, WV",2012,2012,All other non-drug and non-alcohol causes,850,107098
"Berkeley County, WV",2012,2012,,896,107098
"Berkeley County, WV",2016,2016,Drug poisonings (overdose) Unintentional (X40-X44),78,113525
"Berkeley County, WV",2016,2016,All other alcohol-induced causes,16,113525
"Berkeley County, WV",2016,2016,All other non-drug and non-alcohol causes,942,113525
"Berkeley County, WV",2016,2016,,1047,113525
"Berkeley County, WV",,,,3525,410510
"Boone County, WV",2004,2004,Drug poisonings (overdose) Unintentional (X40-X44),11,25455
"Boone County, WV",2004,2004,All other non-drug and non-alcohol causes,277,25455
"Boone County, WV",2004,2004,,289,25455
"Boone County, WV",2008,2008,Drug poisonings (overdose) Unintentional (X40-X44),11,24794
"Boone County, WV",2008,2008,All other non-drug and non-alcohol causes,355,24794
"Boone County, WV",2008,2008,,367,24794
"Boone County, WV",2012,2012,Drug poisonings (overdose) Unintentional (X40-X44),16,24478
"Boone County, WV",2012,2012,All other non-drug and non-alcohol causes,263,24478
"Boone County, WV",2012,2012,,281,24478
"Boone County, WV",2016,2016,All other non-drug and non-alcohol causes,285,22816
"Boone County, WV",2016,2016,,299,22816
"Boone County, WV",,,,1236,97543
"Braxton County, WV",2004,2004,All other non-drug and non-alcohol causes,148,14696
"Braxton County, WV",2004,2004,,150,14696
"Braxton County, WV",2008,2008,All other non-drug and non-alcohol causes,175,14587
"Braxton County, WV",2008,2008,,182,14587
"Braxton County, WV",2012,2012,All other non-drug and non-alcohol causes,190,14468
"Braxton County, WV",2012,2012,,196,14468
"Braxton County, WV",2016,2016,All other non-drug and non-alcohol causes,175,14471
"Braxton County, WV",2016,2016,,179,14471
"Braxton County, WV",,,,707,58222
"Brooke County, WV",2004,2004,All other non-drug and non-alcohol causes,327,24867
"Brooke County, WV",2004,2004,,332,24867
"Brooke County, WV",2008,2008,All other non-drug and non-alcohol causes,301,24168
"Brooke County, WV",2008,2008,,308,24168
"Brooke County, WV",2012,2012,All other non-drug and non-alcohol causes,324,23853
"Brooke County, WV",2012,2012,,336,23853
"Brooke County, WV",2016,2016,Drug poisonings (overdose) Unintentional (X40-X44),11,22977
"Brooke County, WV",2016,2016,All other non-drug and non-alcohol causes,334,22977
"Brooke County, WV",2016,2016,,349,22977
"Brooke County, WV",,,,1325,95865
"Cabell County, WV",2004,2004,Drug poisonings (overdose) Unintentional (X40-X44),20,95239
"Cabell County, WV",2004,2004,All other alcohol-induced causes,10,95239
"Cabell County, WV",2004,2004,All other non-drug and non-alcohol causes,1129,95239
"Cabell County, WV",2004,2004,,1163,95239
"Cabell County, WV",2008,2008,Drug poisonings (overdose) Unintentional (X40-X44),28,95209
"Cabell County, WV",2008,2008,All other alcohol-induced causes,10,95209
"Cabell County, WV",2008,2008,All other non-drug and non-alcohol causes,1214,95209
"Cabell County, WV",2008,2008,,1255,95209
"Cabell County, WV",2012,2012,Drug poisonings (overdose) Unintentional (X40-X44),24,96974
"Cabell County, WV",2012,2012,All other alcohol-induced causes,11,96974
"Cabell County, WV",2012,2012,All other non-drug and non-alcohol causes,1039,96974
"Cabell County, WV",2012,2012,,1079,96974
