County,Year,Deaths,Population,numberOfDeaths,percentageOfDeaths
Berkeley,2008,19,101629,807,2.354399009
Boone,2008,11,24794,367,2.997275204
Cabell,2008,28,95209,1255,2.231075697
Fayette,2008,12,46171,626,1.916932907
Kanawha,2008,54,192414,2578,2.094647013
McDowell,2008,22,22494,374,5.882352941
Mercer,2008,26,61848,848,3.066037736
Mingo,2008,18,26850,378,4.761904762
Monongalia,2008,13,92200,634,2.050473186
Raleigh,2008,15,78379,919,1.632208923
Wood,2008,12,86783,1019,1.177625123
Wyoming,2008,18,23957,315,5.714285714
