County,Year,Year Code,Drug/Alcohol Induced Cause,Deaths,Population
"Berkeley County, WV",2012,2012,Drug poisonings (overdose) Unintentional (X40-X44),27,107098
"Boone County, WV",2012,2012,Drug poisonings (overdose) Unintentional (X40-X44),16,24478
"Cabell County, WV",2012,2012,Drug poisonings (overdose) Unintentional (X40-X44),24,96974
"Fayette County, WV",2012,2012,Drug poisonings (overdose) Unintentional (X40-X44),21,45869
"Harrison County, WV",2012,2012,Drug poisonings (overdose) Unintentional (X40-X44),14,69141
"Jefferson County, WV",2012,2012,Drug poisonings (overdose) Unintentional (X40-X44),10,54504
"Kanawha County, WV",2012,2012,Drug poisonings (overdose) Unintentional (X40-X44),53,192179
"Logan County, WV",2012,2012,Drug poisonings (overdose) Unintentional (X40-X44),14,36168
"McDowell County, WV",2012,2012,Drug poisonings (overdose) Unintentional (X40-X44),13,21326
"Mercer County, WV",2012,2012,Drug poisonings (overdose) Unintentional (X40-X44),34,62523
"Mingo County, WV",2012,2012,Drug poisonings (overdose) Unintentional (X40-X44),18,26103
"Nicholas County, WV",2012,2012,Drug poisonings (overdose) Unintentional (X40-X44),11,26229
"Raleigh County, WV",2012,2012,Drug poisonings (overdose) Unintentional (X40-X44),54,79021
"Wayne County, WV",2012,2012,Drug poisonings (overdose) Unintentional (X40-X44),10,41649
"Wood County, WV",2012,2012,Drug poisonings (overdose) Unintentional (X40-X44),13,86701
"Wyoming County, WV",2012,2012,Drug poisonings (overdose) Unintentional (X40-X44),21,23273
