county,drugOverdoseDeaths,percentageOfDeaths
Barbour,-999999,-999999
Berkeley,-999999,-999999
Boone,11,3.806228374
Braxton,-999999,-999999
Brooke,-999999,-999999
Cabell,20,1.719690456
Calhoun,-999999,-999999
Clay,-999999,-999999
Doddridge,-999999,-999999
Fayette,-999999,-999999
Gilmer,-999999,-999999
Grant,-999999,-999999
Greenbrier,-999999,-999999
Hampshire,-999999,-999999
Hancock,-999999,-999999
Hardy,-999999,-999999
Harrison,-999999,-999999
Jackson,-999999,-999999
Jefferson,-999999,-999999
Kanawha,29,1.174564601
Lewis,-999999,-999999
Lincoln,-999999,-999999
Logan,14,2.953586498
McDowell,-999999,-999999
Marion,-999999,-999999
Marshall,-999999,-999999
Mason,-999999,-999999
Mercer,12,1.474201474
Mineral,-999999,-999999
Mingo,-999999,-999999
Monongalia,-999999,-999999
Monroe,-999999,-999999
Morgan,-999999,-999999
Nicholas,-999999,-999999
Ohio,-999999,-999999
Pendleton,-999999,-999999
Pleasants,-999999,-999999
Pocahontas,-999999,-999999
Preston,-999999,-999999
Putnam,-999999,-999999
Raleigh,18,2.031602709
Randolph,-999999,-999999
Ritchie,-999999,-999999
Roane,-999999,-999999
Summers,-999999,-999999
Taylor,-999999,-999999
Tucker,-999999,-999999
Tyler,-999999,-999999
Upshur,-999999,-999999
Wayne,-999999,-999999
Webster,-999999,-999999
Wetzel,-999999,-999999
Wirt,-999999,-999999
Wood,-999999,-999999
Wyoming,11,3.363914373
