Library,address
Alderson Public Library,"Rt. 1 Box 147 Alderson, WV 24910-9364"
Allegheny Mt Top Public Library,"8455 Union Highway (Rt. 42) Mount Storm, WV, WV 26739"
Alum Creek Public Library,"PO Box 530 Alum Creek, WV 25003"
Ansted Public Library,"PO Box 428 Ansted, WV 25812"
Arnettsville Public Library,"4120 Fairmont Rd Morgantown, WV 26501"
Barboursville Public Library,"728 Main St. Barboursville, WV 25504-1407"
Barrett-Wharton Public Library,"PO Box 189 Wharton, WV 25208-0189"
Belington Public Library,"P.O. Box 878 Belington, WV 26250-0878"
Benwood-McMechen Public Library,"201 Marshall St. McMechen, WV 26040-1034"
Bolivar-Harpers Ferry Public Library,"151 Polk St. Harpers Ferry, WV 25425-9870"
Boone-Madison Public Library,"375 Main St. Madison, WV 25130-1295"
Bradshaw Public Library,"PO Box 498 Bradshaw, WV 24817"
Bridgeport Public Library,"1200 Johnson Ave. Bridgeport, WV 26330-1354"
Brooke County Public Library,"945 Main St. Wellsburg, WV 26070-1629"
Buffalo Creek Memorial Library,"511 E. McDonald Ave. Man, WV 25635-1014"
Buffalo Public Library,"3530 Buffalo Road Buffalo, WV 25033-0366"
Burlington Public Library,"PO Box 61 Burlington, WV 26710-0061"
Burnsville Public Library,"P.O. Box 141 Burnsville, WV 26335-9999"
Guyan River Public Library,"5320 McClellan Highway Branchland, WV 25506-0278"
Cabell County Public Library,"455 9th St. Huntington, WV 25701-1417"
Calhoun County Public Library,"PO Box 918 Grantsville, WV 26147-0918"
Cameron Public Library,"Benedum Building Cameron, WV 26033-1019"
Capon Bridge Public Library,"2987 Northwestern Pike Capon Bridge, WV 26711-0088"
Center Point Public Library,"8871 WV RT 23 Salem, WV 26426"
Chapmanville Public Library,"740 Crawley Creek Road Chapmanville, WV 25508-4586"
Charles W. Gibson Public Library,"105 E. Main St. Buckhannon, WV 26201-2735"
Cheat Area Public Library,"121 Crosby Rd. Morgantown, WV 26508-9134"
Clarksburg-Harrison Co. Public Library,"404 W. Pike St. Clarksburg, WV 26301-2712"
Clay Battelle Public Library,"PO Drawer J Blacksville, WV 26521-0068"
Clay County Public Library,"PO Box 60 Clay, WV 25043-0060"
Clendenin Public Library,"1 Cardinal St. Clendenin, WV 25045-0939"
Clinton District Public Library,"2005 Grafton Rd. Morgantown, WV 26508-3658"
Coal River Public Library,"494 John Slack Circle Racine, WV 25165-9510"
