county,GMcoordinates,name,address,city,joinedAddress,zip
Jefferson,"-77.7563009, 39.3225089",Harpers Ferry Middle School,1710 West Washington Street,Harpers Ferry,"1710 West Washington Street , Harpers Ferry, WV, 25425",25425
Jefferson,"-77.780159, 39.318272",C. W. Shipley Elementary School,652 Shipley School Road,Harpers Ferry,"652 Shipley School Road , Harpers Ferry, WV, 25425",25425
Jefferson,"-77.784761, 39.2428641",Blue Ridge Primary,175 Lowery Lane,Harpers Ferry,"175 Lowery Lane , Harpers Ferry, WV, 25425",25425
Jefferson,"-77.7856879, 39.24225",Blue Ridge Elementary School,18866 Charles Town Road,Harpers Ferry,"18866 Charles Town Road , Harpers Ferry, WV, 25425",25425
Jefferson,"-77.808409, 39.426181",Shepherdstown Elementary School,662 South Church Street,Shepherdstown,"662 South Church Street , Shepherdstown, WV, 25443",25443
Jefferson,"-77.81144259999999, 39.4271079",Shepherdstown Middle School,54 Minden Avenue,Shepherdstown,"54 Minden Avenue , Shepherdstown, WV, 25443",25443
Jefferson,"-77.8210996, 39.3377069",Driswood Elementary School,75 Caspian Way,Shenandoah Junction,"75 Caspian Way , Shenandoah Junction, WV, 25442",25442
Jefferson,"-77.833176, 39.35246009999999",Jefferson High School,4141 Flowing Springs Road,Shenandoah Junction,"4141 Flowing Springs Road , Shenandoah Junction, WV, 25442",25442
Jefferson,"-77.833491, 39.356507",Wildwood Middle School,1209 Shenandoah Junction Road,Shenandoah Junction,"1209 Shenandoah Junction Road , Shenandoah Junction, WV, 25442",25442
Jefferson,"-77.848365, 39.278019",Charles Town Middle School,193 High Street,Charles Town,"193 High Street , Charles Town, WV, 25414",25414
Jefferson,"-77.8530826, 39.3565361",T A Lowery Elementary School,103 Shenandoah Junction Road,Shenandoah Junction,"103 Shenandoah Junction Road , Shenandoah Junction, WV, 25442",25442
Berkeley,"-77.85986419999999, 39.5869298",Marlowe Elementary School,9580 Williamsport Pike,Falling Waters,"9580 Williamsport Pike , Falling Waters, WV, 25419",25419
Jefferson,"-77.8611147, 39.2871896",Wright Denny Intermediate School,209 West Congress Street,Charles Town,"209 West Congress Street , Charles Town, WV, 25414",25414
Jefferson,"-77.86160590000001, 39.3031882",Ranson Elementary School,600 North Preston Street,Ranson,"600 North Preston Street , Ranson, WV, 25438",25438
Jefferson,"-77.8747308, 39.2704147",Page Jackson Elementary,370 Page Jackson School Road,Charles Town,"370 Page Jackson School Road , Charles Town, WV, 25414",25414
Jefferson,"-77.8801323, 39.259929",Washington High School,300 Washington Patriots Drive,Charles Town,"300 Washington Patriots Drive , Charles Town, WV, 25414",25414
Jefferson,"-77.88149469999999, 39.3680452",North Jefferson Elementary,6996 Charles Town Road,Kearneysville,"6996 Charles Town Road , Kearneysville, WV, 25430",25430
Berkeley,"-77.898354, 39.538216",Spring Mills High School,499 Campus Drive,Martinsburg,"499 Campus Drive, Martinsburg, WV, 25404",25404
Berkeley,"-77.8989029, 39.5374723",Spring Mills Primary,401 Campus Drive,Martinsburg,"401 Campus Drive , Martinsburg, WV, 25404",25404
Berkeley,"-77.9019254, 39.5414585",Spring Mills Middle School,255 Campus Drive,Martinsburg,"255 Campus Drive , Martinsburg, WV, 25404",25404
